Date,Real_Rate,Policy_Deviations,Baa_Spread,VIX,Michigan_Sentiment,TR_CAPE_YoY,M2_YoY,Gold_YoY,BankCredit_YoY
2000-07-01,3.56553,-0.13652,2.3,19.83,108.3,-3.832534888564876,5.642280724963622,9.337925755836185,10.351044887598636
2000-08-01,3.23553,-0.46652,2.43,20.55,107.3,0.8066274253324623,5.860258747556402,9.957048028114013,10.350245827748772
2000-09-01,3.26907,-0.43298,2.55,17.53,106.8,0.0,6.2707932060934946,6.93416439423451,10.102299587237894
2000-10-01,3.21333,-0.49028,2.6,21.23,105.8,-4.247627654767272,6.068325821412235,3.4000755572346053,9.118903486229012
2000-11-01,3.08547,-0.61814,2.56,24.28,107.6,-11.424930983223614,5.876230539051996,-13.099452848406823,8.522876306900272
2000-12-01,2.66585,-1.03776,2.78,27.48,98.4,-16.732488048222816,6.216455068652582,-9.276944065484305,8.019126525473673
2001-01-01,2.59447,-0.94821,2.77,29.99,94.7,-16.558100441269175,6.658668266346712,-4.097492052278351,7.969616205230912
2001-02-01,2.31293,-1.22975,2.77,21.66,90.6,-16.044531761624103,7.182379456942067,-6.612733028491036,7.49514828713429
2001-03-01,2.27889,-1.26379,2.95,28.08,91.5,-26.02389078498294,7.708470403463719,-12.670890296765592,6.469750766019056
2001-04-01,2.47777,-1.01582,2.93,31.21,88.4,-26.84478371501272,7.789756281723226,-8.17039106145251,5.905226140666708
2001-05-01,2.84434,-0.64925,2.68,24.2,92.0,-19.577185641929074,8.024055344113389,-6.864497676081516,5.252094961547127
2001-06-01,2.57431,-0.91928,2.69,21.59,92.6,-23.394594594594597,8.519775431540122,-1.017441860465118,4.348685275217301
2001-07-01,2.54028,-0.61481,2.73,18.76,92.4,-25.384448776261635,8.742929893765773,-5.425271263563181,3.609747324594781
2001-08-01,2.33119,-0.82389,2.88,20.56,91.5,-27.270761245674734,8.805892727461352,-5.007102272727282,3.0340443506757797
2001-09-01,2.09698,-1.0581,3.3,25.85,81.8,-34.374307862679956,10.298024838835907,-0.7650273224043769,4.173400698556318
2001-10-01,1.9413,-1.1903,3.34,32.32,82.7,-27.77253421425201,9.701523176089012,3.54402630617463,3.83210626106516
2001-11-01,1.91925,-1.21235,3.16,32.31,83.9,-22.944138096379763,10.340378471368883,4.851851851851863,4.116808296900909
2001-12-01,2.30768,-0.82393,2.96,25.77,88.8,-18.422366450324525,10.410536355703481,3.8345864661654128,4.109767287824417
2002-01-01,2.42989,-0.64031,2.83,22.71,93.0,-18.282548476454284,9.695886228507167,1.6206261510128828,2.9442100203841637
2002-02-01,2.36119,-0.709,2.98,21.12,90.7,-18.928757150286014,9.433736620756994,6.026365348399243,3.0854826859780804
2002-03-01,2.84362,-0.22658,2.83,19.96,95.7,-6.343713956170715,8.419870342272763,12.829324169530354,3.1719417773628855
2002-04-01,2.72486,-0.33708,2.82,18.73,93.0,-9.85507246376811,7.065301992528017,11.825095057034218,2.930181655953934
2002-05-01,2.62357,-0.43836,2.93,20.06,96.9,-17.387732749178532,7.614894983746323,16.199616122840688,2.638535013877852
2002-06-01,2.67194,-0.39,3.02,23.37,92.4,-20.06773920406435,7.204215972047945,15.455212922173288,3.296856792095859
2002-07-01,2.45043,-0.48614,3.25,27.11,88.1,-26.879535558780844,7.408544777551729,18.874907475943736,3.801111251451239
2002-08-01,1.90328,-1.03329,3.32,36.95,87.6,-24.650609574784422,7.523026754896156,17.12149532710281,5.045828067815661
2002-09-01,1.62521,-1.31136,3.53,39.97,86.1,-18.89976375295308,5.736373312419474,13.913362701908971,4.546846426126283
2002-10-01,1.75217,-0.92997,3.79,34.12,80.6,-22.86834367853643,6.79640718562875,12.597035991531413,6.673856297150693
2002-11-01,2.0298,-0.65234,3.57,29.3,84.2,-21.87305538270069,6.876774876106695,11.833274461321096,7.269704386208242
2002-12-01,2.06609,-0.61604,3.42,27.46,86.7,-23.929008567931454,6.227139890087674,15.532223026792202,7.725374682290642
